model,split,accuracy,f1_macro,f1_weighted
DistilBERT (paired),test,0.8473333333333334,0.8473316370181891,0.8473316370181893
ResNet50 (paired),test,0.8226666666666667,0.8212400830807995,0.8212400830807995
Late fusion,test,0.89,0.8898519120150424,0.8898519120150425
Cross-attn fusion,test,0.8933333333333333,0.8933240406719873,0.8933240406719875
Late fusion,val,0.8626666666666667,0.862431638764182,0.862431638764182
Cross-attn fusion,val,0.8646666666666667,0.8646666065184918,0.8646666065184918
