model,split,accuracy,f1_macro,f1_weighted
TF-IDF + LogReg,test,0.7943997707311317,0.7902262454642701,0.7963640760378008
DistilBERT,test,0.8495085891535595,0.8438916738951032,0.8500342389728944
TF-IDF + LogReg,val,0.7949512992484243,0.7902545859855532,0.7969727900244034
DistilBERT,val,0.8479828789053284,0.8419227404977156,0.8485477407605178
